happiness_rank,country,happiness_score,economy,health,freedom,generosity,corruption
2,Denmark,7.6000,1.3830,0.9960,0.5920,0.2520,0.4100
77,Dominican Republic,5.4250,1.0150,0.7790,0.4970,0.1130,0.1010
50,Ecuador,6.0280,0.9120,0.8680,0.4980,0.1260,0.0870
137,Egypt,4.1660,0.9130,0.6440,0.2410,0.0760,0.0670
35,El Salvador,6.2530,0.7940,0.7890,0.4300,0.0930,0.0740
55,Estonia,5.8930,1.2370,0.8740,0.4950,0.1030,0.1610
134,Ethiopia,4.2860,0.3360,0.5320,0.3440,0.2090,0.1000
1,Finland,7.7690,1.3400,0.9860,0.5960,0.1530,0.3930
24,France,6.5920,1.3240,1.0450,0.4360,0.1110,0.1830
104,Gabon,4.7990,1.0570,0.5710,0.2950,0.0430,0.0550
119,Georgia,4.5190,0.8860,0.7520,0.3460,0.0430,0.1640
17,Germany,6.9850,1.3730,0.9870,0.4950,0.2610,0.2650
98,Ghana,4.9960,0.6110,0.4860,0.3810,0.2450,0.0400
82,Greece,5.2870,1.1810,0.9990,0.0670,0.0000,0.0340
27,Guatemala,6.4360,0.8000,0.7460,0.5350,0.1750,0.0780
118,Guinea,4.5340,0.3800,0.3750,0.3320,0.2070,0.0860
147,Haiti,3.5970,0.3230,0.4490,0.0260,0.4190,0.1100
59,Honduras,5.8600,0.6420,0.8280,0.5070,0.2460,0.0780
76,Hong Kong,5.4300,1.4380,1.1220,0.4400,0.2580,0.2870
62,Hungary,5.7580,1.2010,0.8280,0.1990,0.0810,0.0200
4,Iceland,7.4940,1.3800,1.0260,0.5910,0.3540,0.1180
140,India,4.0150,0.7550,0.5880,0.4980,0.2000,0.0850
92,Indonesia,5.1920,0.9310,0.6600,0.4910,0.4980,0.0280
117,Iran,4.5480,1.1000,0.7850,0.3050,0.2700,0.1250
126,Iraq,4.4370,1.0430,0.5740,0.2410,0.1480,0.0890
16,Ireland,7.0210,1.4990,0.9990,0.5160,0.2980,0.3100
13,Israel,7.1390,1.2760,1.0290,0.3710,0.2610,0.0820
36,Italy,6.2230,1.2940,1.0390,0.2310,0.1580,0.0300
99,Ivory Coast,4.9440,0.5690,0.2320,0.3520,0.1540,0.0900
56,Jamaica,5.8900,0.8310,0.8310,0.4900,0.1070,0.0280
58,Japan,5.8860,1.3270,1.0880,0.4450,0.0690,0.1400
101,Jordan,4.9060,0.8370,0.8150,0.3830,0.1100,0.1300
60,Kazakhstan,5.8090,1.1730,0.7290,0.4100,0.1460,0.0960
121,Kenya,4.5090,0.5120,0.5810,0.4310,0.3720,0.0530
46,Kosovo,6.1000,0.8820,0.7580,0.4890,0.2620,0.0060
51,Kuwait,6.0210,1.5000,0.8080,0.4930,0.1420,0.0970
86,Kyrgyzstan,5.2610,0.5510,0.7230,0.5080,0.3000,0.0230
53,Latvia,5.9400,1.1870,0.8120,0.2640,0.0750,0.0640
91,Lebanon,5.1970,0.9870,0.8150,0.2160,0.1660,0.0270
141,Liberia,3.9750,0.0730,0.4430,0.3700,0.2330,0.0330
72,Libya,5.5250,1.0440,0.6730,0.4160,0.1330,0.1520
42,Lithuania,6.1490,1.2380,0.8180,0.2910,0.0430,0.0420
14,Luxembourg,7.0900,1.6090,1.0120,0.5260,0.1940,0.3160
143,Madagascar,3.9330,0.2740,0.5550,0.1480,0.1690,0.0410
150,Malawi,3.4100,0.1910,0.4950,0.4430,0.2180,0.0890
80,Malaysia,5.3390,1.2210,0.8280,0.5080,0.2600,0.0240
128,Mali,4.3900,0.3850,0.3080,0.3270,0.1530,0.0520
22,Malta,6.7260,1.3000,0.9990,0.5640,0.3750,0.1510
122,Mauritania,4.4900,0.5700,0.4890,0.0660,0.1060,0.0880
57,Mauritius,5.8880,1.1200,0.7980,0.4980,0.2150,0.0600
23,Mexico,6.5950,1.0700,0.8610,0.4330,0.0740,0.0730
71,Moldova,5.5290,0.6850,0.7390,0.2450,0.1810,0.0000
83,Mongolia,5.2850,0.9480,0.6670,0.3170,0.2350,0.0380
73,Montenegro,5.5230,1.0510,0.8710,0.1970,0.1420,0.0800
89,Morocco,5.2080,0.8010,0.7820,0.4180,0.0360,0.0760
131,Myanmar,4.3600,0.7100,0.5550,0.5250,0.5660,0.1720
100,Nepal,4.9130,0.4460,0.6770,0.4390,0.2850,0.0890
5,Netherlands,7.4880,1.3960,0.9990,0.5570,0.3220,0.2980
8,New Zealand,7.3070,1.3030,1.0260,0.5850,0.3300,0.3800
45,Nicaragua,6.1050,0.6940,0.8350,0.4350,0.2000,0.1270
114,Niger,4.6280,0.1380,0.3660,0.3180,0.1880,0.1020
85,Nigeria,5.2650,0.6960,0.2450,0.4260,0.2150,0.0410
64,North Cyprus,5.7180,1.2630,1.0420,0.4170,0.1910,0.1620
3,Norway,7.5540,1.4880,1.0280,0.6030,0.2710,0.3410
67,Pakistan,5.6530,0.6770,0.5350,0.3130,0.2200,0.0980
110,Palestinian Territories,4.6960,0.6570,0.6720,0.2250,0.1030,0.0660
31,Panama,6.3210,1.1490,0.9100,0.5160,0.1090,0.0540
63,Paraguay,5.7430,0.8550,0.7770,0.5140,0.1840,0.0800
65,Peru,5.6970,0.9600,0.8540,0.4550,0.0830,0.0270
69,Philippines,5.6310,0.8070,0.6570,0.5580,0.1170,0.1070
40,Poland,6.1820,1.2060,0.8840,0.4830,0.1170,0.0500
66,Portugal,5.6930,1.2210,0.9990,0.5080,0.0470,0.0250
29,Qatar,6.3740,1.6840,0.8710,0.5550,0.2200,0.1670
48,Romania,6.0700,1.1620,0.8250,0.4620,0.0830,0.0050
68,Russia,5.6480,1.1830,0.7260,0.3340,0.0820,0.0310
152,Rwanda,3.3340,0.3590,0.6140,0.5550,0.2170,0.4110
28,Saudi Arabia,6.3750,1.4030,0.7950,0.4390,0.0800,0.1320
111,Senegal,4.6810,0.4500,0.5710,0.2920,0.1530,0.0720
70,Serbia,5.6030,1.0040,0.8540,0.2820,0.1370,0.0390
129,Sierra Leone,4.3740,0.2680,0.2420,0.3090,0.2520,0.0450
34,Singapore,6.2620,1.5720,1.1410,0.5560,0.2710,0.4530
